input,filtered,denoisedF,denoisedR,merged,nonchim
2239,883,789,822,178,537
5834,249,193,197,0,141
55221,12185,5975,4690,528,5531
40282,18451,10981,10379,979,8927
66770,30192,19227,18720,2469,17729
40356,907,185,160,115,185
54681,25444,14830,15346,2064,14062
48776,18294,10036,9553,1435,9629
59569,23433,13988,13697,767,13725
60526,23303,14942,13515,1080,13887
54433,24463,15723,14853,1288,14876
62053,30787,20367,19832,1681,19130
27461,9542,4461,3642,449,4461
45756,13860,7213,6532,1424,5735
76588,29519,19732,18874,2698,17766
58047,2548,1002,570,25,1002
56113,22889,13391,12041,1576,12645
22168,10389,5157,4702,220,5040
51565,24946,15108,15129,1591,14456
27078,13442,7229,6878,550,6182
8520,3154,2597,2535,819,2204
26286,14347,13179,13269,1836,8705
15,11,3,1,0,3
34854,12926,11087,11078,1643,9704
74778,31123,29426,29843,11080,14391
35,12,1,1,0,1
9740,5398,4780,4797,289,4436
12,7,1,1,0,1
16,8,1,1,0,1
98339,47755,44100,45331,13052,25250
20572,5060,4804,4830,1798,2774
33500,17088,15947,16119,4190,10335
34889,14208,12975,13111,1245,9576
40596,4653,4227,4068,1142,3140
81015,45126,42616,43297,13958,21919
20,4,1,1,0,1
122781,71393,67847,68817,20121,35464
26,13,1,2,0,1
